frame,a,b,c,d,e,intervalo
imagen93,-2.016463363587485e-05,0.002416525968952789,-0.11411753172762525,2.5951288596060182,14.892909984824023,65.0
imagen94,-2.3998648870815487e-05,0.0029885651073361026,-0.14331250865829478,3.1790088622172865,11.271749891846692,65.0
imagen95,-2.1721909225558278e-05,0.0027015038439846357,-0.13143912427354834,3.0000364784064733,11.950669417165514,64.0
imagen96,-1.770121433208871e-05,0.00210931100766171,-0.10169758972304906,2.4183294841624514,15.463950839212917,64.0
imagen97,-2.2341050468943635e-05,0.0027879062871507348,-0.13557206292650756,3.0784663479567613,11.513159626815177,64.0
imagen98,-2.2525295890864082e-05,0.0028157533616355716,-0.13688513592926613,3.0971434171802956,11.494401290010188,64.0
imagen99,-2.180511185856382e-05,0.0027225667107167073,-0.13315086567606488,3.0511957571224104,11.513232374875946,64.0
imagen100,-2.2341050468943635e-05,0.0027879062871507348,-0.13557206292650756,3.0784663479567613,11.513159626815177,64.0
imagen101,-2.1920255404817013e-05,0.0027246447299251607,-0.1322921449218936,3.010933015495237,11.955499356361539,64.0
imagen102,-2.2478825265181968e-05,0.0028104951142849987,-0.1367067254851827,3.0952058630294212,11.497816955786021,64.0
imagen103,-1.8196766592870617e-05,0.0021804686847518334,-0.104901240646908,2.4625727082210513,15.407935901621686,64.0
imagen104,-2.1672152611174056e-05,0.002698898028389051,-0.13155749114249388,3.004717966668205,11.962570147247028,64.0
imagen105,-2.162131688177027e-05,0.002688933782399813,-0.13086863824343636,2.985084992112373,12.153993382997706,64.0
imagen106,-1.7411178599768817e-05,0.0020804334622720588,-0.10086858088579559,2.410500394143092,14.482541063910027,64.0
imagen107,-2.185478921790107e-05,0.002733566672052117,-0.13381337064821697,3.062555496938792,11.480799065075875,64.0
imagen108,-1.7732350335419866e-05,0.002116785639719314,-0.1021165938272388,2.4224546436603864,15.507777504415776,64.0
imagen109,-2.1919346242738058e-05,0.0027401371415086352,-0.1340035079097949,3.0650629099051963,11.448617385415277,64.0
imagen110,-1.7498191047682354e-05,0.0020878265651136122,-0.10095204160000269,2.403040934304979,15.647372940620077,64.0
imagen111,-2.1878868942337704e-05,0.0027186644408091153,-0.13179912563142598,2.9847917382238895,12.35082784454855,64.0
imagen112,-2.1424310024498183e-05,0.002665024760368505,-0.12996352671074102,2.9729698334371757,12.19743537025587,64.0
imagen113,-2.1854513190699976e-05,0.0027223680859520647,-0.13245276739291695,3.013831462373294,11.952043091076725,64.0
imagen114,-1.7419916988892226e-05,0.0020825997369607026,-0.10096941181568357,2.4056754100326536,15.641348105159535,64.0
imagen115,-1.8153841395918136e-05,0.002171313264847565,-0.10431100237090608,2.449944959424867,15.463691242604705,64.0
imagen116,-2.1901545235181175e-05,0.002723506138164776,-0.13218125544955744,3.001504898746607,12.118544609890133,64.0
